name,activity,inside,nature,photo,cafe
스타벅스 제주중문점,0,1,0,1,1
스타벅스 제주중문DT점,0,1,1,1,1
스타벅스 제주함덕점,0,1,1,1,1
스테이위드커피,0,1,1,1,1
시루애월,0,1,1,1,1
시흥초등학교 제주올레1코스 표지석,0,0,0,0,0
식산봉,1,0,1,1,0
신산리마을카페,0,1,1,1,1
신창풍차해안,1,0,1,1,0
신화테마파크,1,0,1,1,0
썬셋클리프,0,1,0,1,1
아뜰리에안,0,1,1,1,1
아랑조을거리,0,0,0,0,0
아줄레주,0,1,0,1,1
안덕계곡,1,0,1,1,0
안돌오름,1,0,1,1,0
안성리 수국길,0,0,1,1,0
알뜨르비행장,1,0,1,1,0
알맞은시간,0,1,1,1,1
알오름,1,0,1,1,0
알작지해변,1,0,1,1,0
앙뚜아네트 용담점,0,1,1,1,1
애월더선셋,0,1,1,1,1
액트몬 제주중문점,1,0,0,1,0
액티브파크,1,0,0,1,0
앤트러사이트 제주한림점,0,1,1,1,1
어니스트밀크 본점,0,1,0,1,1
어제보다오늘,0,1,0,1,1
엉덩물계곡,1,0,1,1,0
엉또폭포,1,0,1,1,0
에코랜드테마파크,0,0,0,1,0
여미지식물원,0,1,1,1,0
여섯번의보름,0,1,0,1,1
연북정,0,0,0,1,0
연화지,0,0,1,1,0
영락리 방파제,0,0,1,1,0
영아리,1,0,1,1,0
영주산,1,0,1,1,0
오늘은녹차한잔,0,1,0,1,1
오늘의바다,0,1,1,1,1
오드싱오름,1,0,1,1,0
오엘이에프,0,1,0,1,1
오저여,1,0,0,1,0
온오프,0,1,0,1,1
올티스,1,0,1,1,0
와랑와랑,0,1,0,1,1
와토커피,0,1,0,1,1
외도339,0,1,0,1,1
외돌개 전망대,0,0,1,1,0
요요무문,0,1,0,1,1
용눈이오름,1,0,1,1,0
용두암 인증센터,1,0,0,0,0
용두암해수랜드,0,0,0,0,0
용머리해안,1,0,1,1,0
용천동굴,1,1,1,0,0
우도,1,0,1,1,0
우도산호해변,1,0,1,1,0
우무,0,1,1,1,1
우뭇개해안,1,0,1,1,0
우유부단,0,1,0,1,1
울트라마린,0,1,1,1,1
원앙폭포,0,0,1,1,0
원앤온리,0,1,1,1,1
월대천,0,0,1,0,0
월령선인장군락지,0,0,1,1,0
월정리해수욕장,1,0,1,1,0
위더스트래블 칠성점,0,1,0,1,1
위미동백나무군락,0,0,1,1,0
위미동백나무군락,0,0,1,1,0
위미리수국길,0,0,1,1,0
윈드1947카트테마파크,1,0,0,1,0
윈드스톤,0,1,1,1,1
윗세오름,1,0,1,1,0
유동커피,0,1,0,1,1
유채꽃프라자,0,0,1,1,0
이너프,1,1,0,1,1
이승이오름,1,0,1,1,0
이중섭거주지,0,0,0,1,0
이호테우해수욕장,1,0,1,1,0
인그리드,0,1,0,1,1
인스밀,0,1,1,1,1
일출랜드,1,0,0,1,0
잃어버린 마을 곤을동,0,0,0,1,0
잔디공장,0,1,0,1,1
저지문화예술인마을,0,0,0,1,0
정방폭포,1,0,1,1,0
제니의정원,0,1,1,1,1
제레미,0,1,0,1,1
제주 유리의성,1,0,0,1,0
제주4.3평화공원,0,0,0,1,0
제주공룡랜드,1,0,0,1,0
제주돌문화공원,0,0,0,1,0
제주동백수목원,0,1,1,1,0
제주레일바이크,1,0,1,0,0
제주레포츠랜드,1,0,0,0,0
제주목 관아,0,0,0,1,0
제주민속촌,1,0,0,1,0
제주바다체험장,1,0,1,1,0
제주바솔트,0,1,1,1,1
제주불빛정원,0,0,0,1,0
제주시험림,1,0,1,1,0
제주올레10코스 공식안내소,1,0,1,0,0
제주올레11코스 공식안내소,1,0,1,0,0
제주올레16코스 공식안내소,1,0,1,0,0
제주올레19코스 공식안내소,1,0,1,0,0
제주올레1코스 공식안내소,1,0,1,0,0
제주올레4코스 공식안내소,1,0,1,0,0
제주올레5코스 공식안내소,1,0,1,0,0
제주올레여행자센터,1,1,1,0,0
제주워터월드,1,0,0,0,0
제주절물자연휴양림,0,0,1,1,0
