,name,x,y
38,1943,126.49049616351,33.4865669150587
60,20세기 소년,126.529609670832,33.5014113891488
10,가로수길마루,126.311231581006,33.4601140551333
36,가치,126.515781230041,33.516446324227
67,곱을락,126.507114819076,33.2530015271622
3,곽지BAR다,126.304618868837,33.4477972838008
15,금능반지하,126.22863126772,33.3910733394765
20,기분,126.531958617627,33.5158065264436
45,기어서집까지,126.565574127547,33.2498212379508
66,김녕회관,126.755930926159,33.5558924047398
33,김씨술생활 제주협재점,126.245486241711,33.3979627683603
75,꼬란,126.567588735932,33.2496220559544
77,노가리앤비어 도남점,126.529961019361,33.4965965049991
53,늘여름,126.56128577182,33.247098137535
78,다미야 서귀포점,126.558177331095,33.2548702733638
61,달사막,126.672387319398,33.5419688209811
55,담이자카야,126.487306676607,33.4826691600448
19,닻,126.39202070776,33.4860819064587
46,더부즈 제주,126.479028832389,33.4841320041765
69,동남막걸리,126.914589813352,33.4501396784867
47,두꺼비,126.830200289292,33.3203215910055
31,라비에,126.529792127718,33.4986958541494
51,마루아라,126.563921503621,33.2467273696181
8,마이도,126.492132745014,33.4881685494525
26,모루쿠다,126.577207512741,33.2580762647256
40,무시로,126.529128962951,33.49816851868
59,미친부엌,126.523031926234,33.5170248751898
24,바코,126.710794448972,33.4585226866927
22,브루클린 제주,126.357990597849,33.476783632339
25,블랙바 서귀포점,126.563484929083,33.2423146081883
68,블루홀,126.659595170744,33.274353162513
80,빨간집 서귀포점,126.563926409446,33.2469279094962
52,사우스바운더,126.402390847201,33.2565205027411
30,성산연화,126.932443544895,33.4618570222651
9,소앵븟,126.430173485719,33.4894428402743
73,술시,126.241091259289,33.3924668422125
65,쉬림포크,126.9154311938,33.4488315662508
37,스나쿠타카,126.40397908336,33.4836240265586
57,스크루지펍,126.490669306669,33.478162526695
74,스톤아일랜드 탭하우스,126.49325658153,33.4924441712892
43,스피닝울프,126.918168422686,33.4498632234159
48,심야식당 코나카,126.548350698811,33.4707149002553
5,십오야,126.664040732707,33.5422657110942
35,싱싱잇,126.227228353511,33.3863971803879
4,아일랜드스톤,126.52965293047,33.4988847504473
76,알리바이룸,126.919404758385,33.4385856761468
1,야키토리타키비,126.423377835823,33.2525218096001
2,엉또민속주점,126.505012610223,33.2514950342691
44,에스토에스디네로,126.534479677516,33.4869700252942
0,역전할머니맥주노형점,126.486298706736,33.4823105701167
42,올댓제주,126.528376257435,33.5162546436057
70,요리바카,126.427479408167,33.2513086927406
56,우드스탁,126.564388944272,33.2475009839152
6,우미관,126.529761750513,33.497288262439
72,원님네포장마차,126.492980553905,33.4908043090992
64,월령작야달의객잔,126.216387916838,33.3794269209695
14,위미테이블,126.666653295531,33.2752569683183
50,육지것들,126.423982678719,33.2503725304437
27,은주식당,126.278493950861,33.2497961434763
58,이공이시,126.411556504447,33.249698457597
11,이듸포차,126.251289125778,33.2200172913135
82,인디안썸머,126.315200836039,33.4633387425565
71,제리스펍,126.563721018229,33.2431504372879
12,제주약수터 본점,126.56161861637,33.2477455999516
7,제주약수터 올레시장점,126.562711466211,33.2490057791008
62,좀녀와농부,126.903585094988,33.3913131029058
34,주민상회 제주노형점,126.478787086609,33.4880804102746
21,주점부리,126.935023638778,33.465259092038
17,주점부리 신양본점,126.922309392182,33.4365764815423
28,찰스앤바비,126.429485198322,33.2459115985937
54,창흥상회편의점포차,126.556336546298,33.2642818609093
41,청담이상 신제주점,126.48452214578,33.4828169211694
39,카페베트로,126.307543154776,33.3065311964764
16,쿠주,126.52885359201,33.4983652813437
81,팁시테이블,126.504246507286,33.2527341540802
32,파라디스코 레트로퓨처,126.527596058254,33.4996867358406
13,한신포차 제주연동점,126.491242213243,33.4867571506026
79,해바라기,126.72003524363,33.3123499772476
49,헤븐앤얼스,126.557941678007,33.2477077001644
63,협재1번가,126.242159667335,33.3956058505166
23,호랑이,126.664040732707,33.5422657110942
18,화산2020,126.513818410091,33.5158080645433
