,name,x,y
106,1100고지습지 람사르습지,126.463405399685,33.3579373302406
190,5.16도로숲터널,126.370810904853,33.3004429637305
145,60빈스,126.536639367337,33.2415515526695
148,73st,126.455133915594,33.4570050075652
58,9.81파크,126.366509023697,33.3900369448134
24,가시리 조랑말체험장,126.737171853697,33.3842093209463
203,가파도,126.271240418492,33.1698052880553
104,강정천,126.474742683093,33.2566856794553
30,강정천유원지,126.495791784346,33.2649196223104
167,거린사슴,126.451662119214,33.306580224888
105,거린사슴 전망대,126.45435962716,33.3072872453344
85,거문오름 탐방안내소,126.714752055141,33.4569198735739
69,검멀레해변,126.960256641493,33.5059831398525
157,고근산,126.513794916301,33.2663148202423
181,고근산 산책로,126.513794916301,33.2663148202423
186,고산일과해안도로,126.189933674405,33.2821934719329
199,고살리숲길,126.598519589705,33.3171452760362
86,고스트타운,126.356841845228,33.4763703403889
144,골목카페옥수,126.379975615381,33.4397497081291
97,공백,126.71509377031,33.5533920518974
226,광치기해변,126.906686300322,33.4613428931844
150,교래자연휴양림,126.656710998359,33.4513645690599
73,구좌상회 작업실,126.698872152394,33.4856887401381
89,국수문화거리,126.5324459091,33.5101381725006
135,궷물오름,126.407505178623,33.3970806056621
52,귤꽃다락,126.52253455512,33.2464151522898
126,그계절,126.818507858902,33.5318177007032
2,그러므로 파트2,126.48603753697,33.4684146664099
59,그리울땐제주,126.7706280785,33.300981337405
53,그초록,126.806400947611,33.5563748895924
113,금능해수욕장,126.236205125385,33.3904006277236
42,금오름,126.305586388283,33.3556958434344
168,김녕금속공예벽화마을,126.746429303969,33.5580311804428
145,김녕성세기해변 인증센터,126.759880601197,33.5570245950247
174,김녕해수욕장,126.759838589893,33.5571072797716
115,노루생태관찰원,126.626308502394,33.4447384151233
3,노을언덕,126.483399044969,33.5106167533676
103,논짓물해변,126.378717518735,33.2412109273802
97,누웨마루거리,126.490316765603,33.4858742954024
223,느지리오름,126.261645705219,33.3653383204335
134,니모메,126.430941515551,33.4937242247573
147,다락쉼터 인증센터,126.340326531646,33.4700113963433
120,다랑쉬오름,126.821994840628,33.4765038831747
106,다소니,126.517663784871,33.4906785255353
180,단산,126.287152290063,33.2424771891154
126,당오름,126.558886662963,33.2385316399892
87,대정향교,126.288484123083,33.2392901258219
80,대포주상절리대,126.426017654679,33.2379943545484
98,더로맨틱 내생에가장아름다운날들,126.674637849986,33.4380528968536
102,더리트리브,126.338563565616,33.2479296506382
36,델문도,126.668709879591,33.5437022656737
52,도두동무지개해안도로,126.472491125386,33.5093830348977
15,도두봉,126.468483067376,33.5071385307332
202,돔베낭골,126.532760043118,33.2615116284173
21,동박낭,126.676994388278,33.2760360465031
74,동백포레스트,126.636202494643,33.3003197983736
125,두갓,126.449301209336,33.4646052770958
158,두맹이골목,126.53828689587,33.5116314761204
65,드르쿰다 in성산,126.919085883511,33.4445123990912
166,따라비오름,126.753920215351,33.3878512994592
25,라온쥬,126.243508663843,33.3542150804908
57,라토커피,126.528155731444,33.4987006328832
79,르토아베이스먼트,126.844273698956,33.5329875303522
68,마노르블랑,126.294986562216,33.2548236387556
16,마노커피하우스,126.427530133937,33.256875541115
148,마라도,126.267092741572,33.1186178022129
14,마린파크,126.334712732279,33.2408090559426
47,마마롱,126.439180967033,33.4521567767768
66,마음에온,126.525962848972,33.5145793833966
84,마틸다,126.334277136391,33.4656972471332
48,만장굴,126.771615754394,33.5283774190149
155,만장굴입구매표소,126.771615754394,33.5283774190149
8,망고레이 섭지코지점,126.920521771383,33.4363567076242
82,망고홀릭 제주본점,126.491955173426,33.4907168024438
176,머체왓숲길 방문객지원센터,126.673899820322,33.3305225860707
107,메이즈랜드,126.801096157551,33.4891552533947
61,명월국민학교,126.264848690587,33.3889031451126
169,명월성지,126.263401447001,33.3967104509799
75,모노클제주,126.684538804445,33.2729000690125
76,모뉴에트,126.902183625354,33.4914649184383
5,모래비,126.796022442343,33.555521726233
31,모립,126.30971682293,33.4629962893806
37,목장카페드르쿰다,126.770391624769,33.4084460292609
193,문도지오름,126.29501023883,33.3266599829964
222,물영아리,126.691706033201,33.3677824689664
75,물의도시 베니스랜드,126.840702498409,33.4153964214942
10,미스틱3도,126.487369517519,33.4499956148829
70,미쿠니,126.589628986968,33.529082821411
58,바다2822,126.412976265172,33.2458960844133
96,바다다,126.436720072816,33.2369213880434
12,바램목장&카페,126.352577532582,33.3111531169544
29,바운스슈퍼파크 제주센터,126.509423759081,33.4824666537944
41,방림원,126.268512900749,33.3372284167289
143,백약이오름,126.791777452404,33.4373141994595
165,범섬,126.514144783946,33.2431480688709
60,법환바당 인증센터,126.5150814461,33.2357736012844
136,법환어촌계해녀체험센터,126.51351849867,33.2340586395169
81,벙커하우스,126.519224758808,33.2404621096995
24,베케,126.604972933046,33.2619539647892
207,별방진,126.882704852203,33.526852944275
142,보롬왓카페,126.752494805945,33.4134956403949
162,복자 김기량 순교현양비,126.670530990615,33.5369250739217
14,본카페 애월,126.332076364484,33.4677832169339
34,볼스카페,126.44248234513,33.2534011805032
73,부림온천,126.491245281179,33.4757966759765
99,북촌에가면,126.692589686957,33.5480193693616
90,붉은오름자연휴양림,126.5324459091,33.5101381725006
104,뷰스트,126.303480599611,33.2277795897998
0,브와두스 베이커리카페 연동점,126.490307171621,33.4788229879424
147,블랑로쉐,126.30442627564,33.4494376303453
151,블루마운틴 4255,126.837303644472,33.3800800569409
89,블루보틀 제주 카페,126.75085436919,33.4332787775206
29,비브레이브 혁신도시점,126.518175319301,33.2549290929719
198,비블리아성서식물원,126.274999701315,33.3561709772428
