,name,x,y
31,11시11분,126.55926482785,33.2570972794209
81,187센티멘트,126.558480840606,33.2504481366385
112,88버거,126.567122293048,33.2492475189286
206,가시식당,126.771439649932,33.3530800871617
197,가시아방국수,126.918078741951,33.4386292568527
86,가파도수산,126.251788955963,33.2181319571633
162,가파도해물짜장짬뽕,126.273312315412,33.1658683771885
2,갈치왕,126.390760291418,33.2646536486934
185,고씨네천지국수,126.560759500462,33.2517416592351
36,고이정 본점,126.311352052723,33.4592977986301
59,고집돌우럭 제주공항점,126.528057318421,33.5162575762232
175,고집돌우럭 중문점,126.416707323322,33.2579833781002
11,고집돌우럭 함덕점,126.663100369275,33.543817050075
48,고쿠텐 서귀포점,126.514917665877,33.237687753721
122,곰막식당,126.720523183737,33.5568786221399
208,국수1번가,126.303402779073,33.2498098607111
181,국수바다 본점,126.405966620554,33.2585590682091
164,그란데,126.547466264476,33.4749215929021
74,그리다앤쿡,126.530647368102,33.4974926754244
32,글라글라하와이,126.251395570743,33.2196479995352
149,김희선제주몸국,126.49807778062,33.5185567991117
126,까사디노아,126.363079130574,33.2373984025848
182,꽃담수제버거,126.935979062644,33.4629779763213
63,나라돈까스,126.431686883289,33.4908453586566
174,나무식탁,126.19160126931,33.2780709413505
108,난드르바당,126.371011234527,33.2346304868714
176,남원수제돈까스,126.71793577101,33.2799191985165
106,네거리식당,126.559286445208,33.248515915462
127,노조미,126.490247614523,33.4795313953956
33,늘봄흑돼지,126.47283548724,33.4794710006086
96,다람쥐식탁,126.265769521919,33.4077955505497
7,다래향,126.660667531527,33.5458089652935
68,다래향 세화점,126.854426343073,33.5239752337297
213,다운타우너 제주애월,126.309727828319,33.4632634899794
28,다정한식탁,126.42625226487,33.2582318215233
146,달이뜨는식탁,126.790793251853,33.5531562333126
43,당케올레국수,126.843337184878,33.3252934820091
45,당포로나인돈카츠,126.84357564147,33.3257597440874
90,대기정,126.428551115104,33.2402750470828
85,더스푼,126.541151003242,33.4934020866382
64,덕성원,126.544656806061,33.4913937343974
83,덕성원 본점,126.563388335768,33.2449095243501
30,데미안,126.221740584458,33.329111978559
159,도두반점 제주사수본점,126.479180622209,33.509565870437
20,도두반점 호텔더본점,126.406497805552,33.2595323789253
87,도두해녀의집,126.466630514228,33.5061959828433
118,돈사돈본관,126.464026131012,33.4788680102903
138,돈이랑,126.409094060753,33.2576980450082
42,돈카츠서황,126.379592873837,33.4343413935913
198,동해미락,126.568226340864,33.2436675559946
67,로맨틱새우,126.305610356189,33.4479869439977
80,로이앤메이,126.900889549879,33.4094889585963
117,론푸드차이나,126.426969195032,33.2512534176157
16,류차이,126.43167449435,33.2496395556526
17,마가리따은혜씨,126.934316641167,33.4610124089582
140,마농 제주본점,126.461202252767,33.4790596164521
120,마모루,126.531499520634,33.4988561334146
158,만월당,126.370541397903,33.2644792718898
144,만지식당,126.339065159049,33.463284348387
193,맛나식당,126.916013018154,33.4485368642457
161,맛있는폴부엌,126.265210174927,33.3208653531364
200,면차롱,126.243661419899,33.3962649678706
103,명진전복,126.849429127672,33.5324010144195
69,모루쿠다,126.566172376606,33.2482991198432
78,모리노아루요,126.401101009462,33.418710580968
77,모살물,126.494407803166,33.4904715926802
186,몬스터살롱,126.30722786802,33.4482608776075
207,몰마농,126.915622930933,33.43397591681
124,몰질식육식당,126.480278264267,33.2353586944146
178,무거버거,126.655065539797,33.5489812420561
137,미영이네식당,126.249810398098,33.2177456029533
201,밀라네사,126.590490744105,33.5098247724313
129,바다를본돼지 본점,126.197922175273,33.3656405352636
212,바삭돈까스 신서귀포점,126.505346044906,33.252557215259
135,백부장집,126.265829714759,33.4090230586895
44,별돈별 정원점,126.180151049177,33.3086636102141
92,보영반점,126.265146414543,33.4165701709193
22,복자씨연탄구이,126.919750408189,33.4691643005487
50,볼고롱짬뽕,126.55948918901,33.2588796029808
94,부두식당,126.390419766385,33.4877416158624
180,비스트로낭,126.357153035664,33.2597324658399
142,빌레왓,126.335007204038,33.2525194778585
27,뽈살집 제주본점,126.563116864537,33.2506675559908
196,뽕끄랑,126.555059306398,33.2430377952543
10,산도롱맨도롱,126.910383176281,33.4968098822254
101,산방식당,126.254198293055,33.223362891958
13,살찐고등어,126.884715637809,33.5265304365828
133,삼보식당,126.559075018527,33.2477533786169
156,삿뽀로우동집 본점,126.562507526594,33.2471004576036
0,상춘재,126.704758627278,33.4586944615939
203,색달식당 중문본점,126.41346577255,33.2576219984043
57,서작가초밥집,126.564790929791,33.2447685562144
38,석경초밥,126.560891446286,33.2491545370365
73,성산옥탑,126.934645726123,33.4615411065493
190,성산짬뽕,126.931587613513,33.4629554347297
105,성산해녀짬뽕,126.935176997981,33.4630013620306
6,소낭식당,126.641257852647,33.2658502550371
71,소렉,126.49128710002,33.4881895141161
214,소리원,126.493190500424,33.4824708473045
89,소봉식당,126.303040074881,33.2469724322376
119,송림반점,126.519747549562,33.5124218309629
51,수두리보말칼국수,126.425000716964,33.2515665716172
82,수우동,126.242446004839,33.3966216151712
123,수타명가,126.289766318562,33.4418269216574
205,숙성도 노형점,126.485037987096,33.4850469004095
187,순옥이네명가 본점,126.464981289097,33.5055171886466
40,쉐프의 스시이야기,126.489696762476,33.4889794419341
46,스모크하우스인구억,126.278385106372,33.2707884320284
60,스시도모다찌 제주점,126.529184383053,33.4999775944192
189,스시애월,126.319176342437,33.4667231885253
202,스시오하요,126.512347253755,33.5119148080676
15,스시우다,126.506417149604,33.5156731289827
210,스시호시카이,126.517540952346,33.4877781624272
14,시월,126.538536582162,33.4908667427751
