name,x,y
스테이위드커피,126.4557321,33.45825499
모립,126.3097168,33.46299629
블루보틀 제주 카페,126.7508544,33.43327878
다소니,126.5176638,33.49067853
스타벅스 제주용담DT점,126.48451,33.5123994
스타벅스 제주애월DT점,126.3487539,33.47270085
요요무문,126.8366673,33.53809241
카페바나나 함덕점,126.6631004,33.54381705
카페리,126.8396525,33.53395265
어제보다오늘,126.4569705,33.5028543
카페노티드 제주애월,126.3097278,33.46326349
스타벅스 제주함덕점,126.6686201,33.54248848
르토아베이스먼트,126.8442737,33.53298753
모모제이,126.5487316,33.47612596
프로젝트064다방,126.4885404,33.48878182
위더스트래블 칠성점,126.5251614,33.51522771
모래비,126.7960224,33.55552173
달빛제주,126.3944441,33.48379148
망고홀릭 제주본점,126.4919552,33.4907168
윈드스톤,126.4360926,33.46047926
카페그라나다,126.4640634,33.49946645
노을언덕,126.483399,33.51061675
73st,126.4551339,33.45700501
카페유주,126.2572364,33.40547907
카페진정성 종점,126.4628731,33.50241499
카페주비,126.4607671,33.50005531
빽다방 제주사수본점,126.4766227,33.5092792
앨리스,126.5295662,33.49756891
빠빠라기 신제주점,126.4902894,33.48801132
시루애월,126.391826,33.44272576
바람벽에흰당나귀,126.7075951,33.55385485
영국찻집,126.3141132,33.41723537
컴플리트커피,126.4912986,33.47824229
무상찻집 (휴업중),126.5143879,33.50099518
카페세바 (휴업중),126.706034,33.51322177
ABC베이커리,126.5233812,33.51694408
슬랩,126.2416435,33.39485564
