name,x,y
수두리보말칼국수,126.4250007,33.25156657
수우동,126.242446,33.39662162
수타명가,126.2897663,33.44182692
숙성도 노형점,126.485038,33.4850469
순옥이네명가 본점,126.4649813,33.50551719
쉐프의 스시이야기,126.4896968,33.48897944
스모크하우스인구억,126.2783851,33.27078843
스시도모다찌 제주점,126.5291844,33.49997759
스시애월,126.3191763,33.46672319
스시오하요,126.5123473,33.51191481
스시우다,126.5064171,33.51567313
스시호시카이,126.517541,33.48777816
시월,126.5385366,33.49086674
식당마요네즈,126.4786642,33.48891107
신가네짬뽕,126.1659284,33.33261929
신룽푸마라탕 제주시청점,126.5295236,33.49833501
신설오름,126.5415705,33.50543233
심야식당,126.5068283,33.23576171
쌍둥이횟집,126.5629097,33.24659849
아서원,126.5592864,33.24851592
아임파인,126.5821827,33.51988135
애월식탁,126.3101109,33.46274901
애월하미,126.3091436,33.46388503
얌얌돈까스,126.8561745,33.52316061
양가형제,126.2540209,33.3073576
어부피자,126.8926379,33.44332302
엄블랑,126.1950497,33.29743227
연돈,126.4071655,33.25890236
연월,126.3469037,33.45701226
영육일삼,126.4883404,33.23444171
오일장반점,126.2473089,33.21977157
오크라,126.2960806,33.43878771
올래국수 본점,126.497192,33.49151218
올래국수 본점,126.497192,33.49151218
올레안뜰,126.5128139,33.23723196
와랑와랑,126.5628065,33.24478648
요기소바 본점,126.4833233,33.4854123
용이식당,126.6606675,33.54580897
우동카덴,126.6792957,33.43583806
우진해장국,126.5200161,33.51153868
웅스키친,126.4636585,33.49325356
원조마라도짜장면집,126.2668903,33.11868613
윌라라,126.9329163,33.46289043
유달식당,126.6205313,33.26222278
유일반점,126.5307214,33.5010098
윤옥,126.5357443,33.48916591
은희네소고기해장국 본점,126.5407412,33.508532
은희네해장국 노형점,126.4845998,33.48523135
이스트포레스트,126.898766,33.49588373
이춘옥원조고등어쌈밥 애월본점,126.4187001,33.48899691
임성반점,126.5097531,33.50948714
잇뽕사계,126.3048907,33.24246552
잇칸시타,126.3702409,33.47708468
자리돔횟집,126.5746131,33.25555106
자매국수 본점,126.5170064,33.51682896
자연스러운식당,126.5323748,33.2433989
장인의집,126.3268353,33.46574244
제라진밥상,126.6740588,33.53963017
제주 오성 본점,126.4146665,33.2557027
제주고로,126.2024554,33.27115535
제주광해 애월본점,126.3904198,33.48774162
제주판타스틱버거,126.7789894,33.30847849
종달미소,126.8948077,33.4922788
중국집마씸,126.1831434,33.34987069
짬뽕에취한날,126.4978583,33.49120248
착한집,126.5070085,33.49996266
천금반점,126.5236663,33.51556512
천짓골식당,126.5613052,33.2482403
춘심이네 본점,126.3705414,33.26447927
치저스,126.7739055,33.46836397
칠돈가 본점,126.5107179,33.50232466
칠돈가 중문점,126.4144627,33.25746296
컬쳐드,126.5435595,33.4918615
코우,126.5062823,33.25613381
코코리파이프,126.4144889,33.48887557
코하쿠,126.4875672,33.46707248
크랩잭 제주,126.3818396,33.4855024
큰돈가 중문점,126.4151264,33.25513449
타쿠마,126.9184922,33.43904373
털보네고양이,126.6878305,33.27541077
파라토도스,126.2323041,33.3892979
페를로,126.3061352,33.25673303
포커스,126.3891511,33.24381852
표선수제돈가스,126.834785,33.32836092
표선우동가게,126.8312864,33.32410369
피어22,126.2277797,33.38993376
피자굽는돌하르방 본점,126.2558343,33.30477357
피제리아3657,126.3622651,33.23636575
하갈비국수,126.3089923,33.4643238
하나니꾸,126.5332363,33.48783971
하도핑크,126.8834201,33.52237068
하례정원,126.6382276,33.26205264
하르방짬뽕,126.4124589,33.4824792
하찌,126.5371262,33.2452184
하하호호 우도본점,126.9485619,33.52089206
